Sr. No.,Timestamp,Humidity,Temperature
1,26-10-2025 12:30,80.7,29.3
2,26-10-2025 12:30,80.7,29.3
3,26-10-2025 12:30,80.7,29.3
4,26-10-2025 12:30,80.8,29.3
5,26-10-2025 12:30,80.8,29.3
6,26-10-2025 12:30,80.7,29.3
7,26-10-2025 12:30,80.7,29.3
8,26-10-2025 12:31,80.7,29.3
9,26-10-2025 12:31,80.7,29.3
10,26-10-2025 12:31,80.7,29.3
11,26-10-2025 12:31,80.7,29.3
12,26-10-2025 20:10,80.5,29.5
13,26-10-2025 20:10,80.6,29.5
14,26-10-2025 20:10,80.8,29.5
15,26-10-2025 20:10,80.9,29.5
16,26-10-2025 20:11,80.9,29.4
17,26-10-2025 20:11,81.1,29.4
18,26-10-2025 20:11,77.3,29.4
19,26-10-2025 20:11,81.2,29.4
20,26-10-2025 20:12,81.3,29.4
21,26-10-2025 20:12,78.6,29.4
22,26-10-2025 20:12,81.3,29.4
23,26-10-2025 20:12,81.7,29.4
24,26-10-2025 20:12,81.7,29.4
25,27-10-2025 17:43,83.1,28.6
26,27-10-2025 17:43,83.1,28.7
27,27-10-2025 17:43,83,28.7
28,27-10-2025 17:44,82.9,28.8
29,27-10-2025 17:44,82.5,28.9
30,27-10-2025 17:44,82.4,28.9
31,27-10-2025 17:44,82,28.9
32,27-10-2025 17:44,82,28.9
33,27-10-2025 17:45,81.9,28.9
34,27-10-2025 17:45,81.6,29
35,27-10-2025 17:45,81.6,29
36,27-10-2025 17:45,81.4,29
37,27-10-2025 17:45,81.3,29
38,27-10-2025 17:45,81.3,29
39,27-10-2025 17:46,81.3,29
40,27-10-2025 17:46,81.3,29
41,27-10-2025 17:46,81.3,29
42,27-10-2025 17:46,81.3,29
43,27-10-2025 17:47,81.2,29
44,27-10-2025 17:47,81.3,29
45,27-10-2025 17:47,81.3,29
46,27-10-2025 17:48,81.3,29
47,27-10-2025 17:48,81.3,29
48,27-10-2025 17:48,81.3,29
49,27-10-2025 17:48,81.3,29
50,27-10-2025 17:49,81.3,29
51,27-10-2025 17:49,81.3,29
52,27-10-2025 17:49,81.2,29
53,27-10-2025 17:50,81.2,29
54,27-10-2025 17:50,81.2,29
55,27-10-2025 17:50,81.2,29
56,27-10-2025 17:50,81.2,29
57,27-10-2025 17:51,81.2,29
58,27-10-2025 17:51,81.3,29
59,27-10-2025 17:51,81.3,29
60,27-10-2025 17:52,81.3,29
61,27-10-2025 17:52,81.4,28.9
62,27-10-2025 17:52,81.2,29.3
63,27-10-2025 17:52,80.6,29.3
64,27-10-2025 17:53,80.5,29.3
65,27-10-2025 17:53,80.6,29.2
66,27-10-2025 17:53,81.1,29.2
67,27-10-2025 17:53,80.8,29.9
68,27-10-2025 17:54,79.9,30.4
69,27-10-2025 17:54,78.2,30.6
70,27-10-2025 17:54,77.8,30.6
71,27-10-2025 17:55,77.1,31
72,27-10-2025 20:20,80,29.3
73,27-10-2025 20:20,80,29.3
74,27-10-2025 20:20,80,29.3
75,27-10-2025 20:21,80,29.3
76,27-10-2025 20:21,80,29.3
77,27-10-2025 20:21,80,29.3
78,27-10-2025 20:21,80,29.3
79,27-10-2025 20:22,80,29.3
80,27-10-2025 20:22,79.8,29.3
81,27-10-2025 20:22,79.9,29.3
82,27-10-2025 20:22,79.9,29.3
83,27-10-2025 20:23,79.8,29.3
84,27-10-2025 20:23,79.8,29.3
85,27-10-2025 20:23,79.8,29.3
86,27-10-2025 20:24,79.7,29.3
87,27-10-2025 20:24,79.7,29.3
88,27-10-2025 20:24,77.8,29.3
89,27-10-2025 20:24,79.7,29.3
90,27-10-2025 20:25,79.7,29.3
91,27-10-2025 20:25,79.7,29.3
92,27-10-2025 20:25,79.7,29.3
93,27-10-2025 20:26,79.7,29.3
94,27-10-2025 20:26,79.6,29.3
95,27-10-2025 20:26,79.6,29.3
96,27-10-2025 20:26,79.6,29.3
97,27-10-2025 20:27,80.2,29.4
98,27-10-2025 20:27,79.7,29.4
99,27-10-2025 20:27,79.6,29.3
100,27-10-2025 20:28,79.5,29.3
101,27-10-2025 20:28,79.5,29.3
102,27-10-2025 20:28,79.5,29.3
103,27-10-2025 20:28,79.5,29.3
104,27-10-2025 20:29,79.5,29.3
105,27-10-2025 20:29,79.6,29.3
106,27-10-2025 20:29,79.6,29.3
107,27-10-2025 20:29,79.6,29.3
108,27-10-2025 20:30,79.6,29.3
109,27-10-2025 20:30,79.7,29.3
110,27-10-2025 20:30,79.6,29.3
111,27-10-2025 20:31,79.6,29.3
112,27-10-2025 20:31,79.6,29.3
113,27-10-2025 20:31,79.6,29.3
114,27-10-2025 20:32,79.6,29.3
115,27-10-2025 20:32,79.6,29.3
116,27-10-2025 20:32,79.5,29.3
117,27-10-2025 20:32,79.5,29.3
118,27-10-2025 20:33,79.5,29.3
119,27-10-2025 20:33,79.5,29.3
120,27-10-2025 20:33,79.5,29.3
121,27-10-2025 20:34,79.4,29.3
122,27-10-2025 20:34,79.4,29.3
123,27-10-2025 20:34,79.4,29.3
124,27-10-2025 20:34,79.5,29.2
125,27-10-2025 20:35,79.4,29.3
126,27-10-2025 20:35,79.5,29.2
127,27-10-2025 20:35,79.5,29.2
128,27-10-2025 20:36,79.4,29.3
129,27-10-2025 20:36,79.5,29.2
130,27-10-2025 20:36,79.4,29.3
131,27-10-2025 20:36,79.4,29.3
132,29-10-2025 21:12,81.4,29.1
133,29-10-2025 21:12,81.3,29.1
134,29-10-2025 21:12,81.3,29.1
135,29-10-2025 21:13,81.3,29.1
136,29-10-2025 21:13,81.3,29.1
137,29-10-2025 21:13,81.3,29.1
138,29-10-2025 21:13,81.3,29.1
139,29-10-2025 21:14,81.3,29.1
140,29-10-2025 21:14,81.3,29.1
141,29-10-2025 21:14,81.3,29.1
142,29-10-2025 21:15,81.3,29.1
143,29-10-2025 21:15,81.3,29.1
144,29-10-2025 21:15,81.3,29.1
145,29-10-2025 21:15,81.3,29.1
146,29-10-2025 21:16,81.3,29.1
147,29-10-2025 21:16,81.3,29.1
148,29-10-2025 21:16,81.3,29.1
149,29-10-2025 21:17,81.3,29.1
150,29-10-2025 21:17,81.3,29.1
151,29-10-2025 21:17,81.3,29.1
152,29-10-2025 21:17,81.3,29.1
153,29-10-2025 21:18,81.3,29.1
154,29-10-2025 21:18,81.3,29.1
155,29-10-2025 21:18,81.3,29.1
156,29-10-2025 21:18,81.3,29.1
157,29-10-2025 21:19,81.3,29.1
158,29-10-2025 21:19,81.2,29.1
159,29-10-2025 21:19,81.2,29.1
160,29-10-2025 21:20,81.2,29.1
161,29-10-2025 21:20,81.3,29.1
162,29-10-2025 21:20,81.2,29.1
163,29-10-2025 21:21,81.2,29.1
164,29-10-2025 21:21,81.3,29.1
165,29-10-2025 21:21,81.2,29.1
166,29-10-2025 21:21,81.2,29.1
167,29-10-2025 21:22,81.2,29.1
168,29-10-2025 21:22,81.2,29.1
169,29-10-2025 21:22,81.2,29.1
170,29-10-2025 21:22,81.2,29.1
171,29-10-2025 21:23,81.3,29.1
172,29-10-2025 21:23,81.3,29.1
173,29-10-2025 21:23,81.3,29.1
174,29-10-2025 21:24,81.3,29.1
175,29-10-2025 21:24,81.3,29.1
176,29-10-2025 21:24,81.2,29.1
177,29-10-2025 21:24,81.2,29.1
178,29-10-2025 21:25,81.2,29.1
179,29-10-2025 21:25,81.3,29.1
180,29-10-2025 21:25,81.3,29.1
181,29-10-2025 21:26,81.3,29.1
182,29-10-2025 21:26,81.2,29.1
183,29-10-2025 21:26,81.2,29.1
184,29-10-2025 21:26,81.2,29.1
185,29-10-2025 21:27,81.1,29.1
186,29-10-2025 21:27,81.2,29.1
187,29-10-2025 21:27,81.2,29.1
188,29-10-2025 21:28,81.2,29.1
189,29-10-2025 21:28,81.2,29.1
190,29-10-2025 21:28,81.2,29.1
191,29-10-2025 21:28,81.2,29.1